,movie,imdb,votes,mpaa,genre,director,writer,actor,country,budget,box_office_wknd1,box_office_dom,box_office_gross,prod_company,runtime
494,A Wrinkle in Time,4.2,40153.0,PG,Adventure,Ava DuVernay,Jennifer Lee,Storm Reid,USA,100000000.0,33123609.0,100478608.0,132675864.0,Legend3D,109.0
495,Resident Evil: The Final Chapter,5.5,82172.0,R,Action,Paul W.S. Anderson,Paul W.S. Anderson,Milla Jovovich,USA,40000000.0,13601682.0,26830068.0,312242626.0,Screen Gems,107.0
496,The Good Dinosaur,6.7,99772.0,PG,Animation,Peter Sohn,Bob Peterson,Jeffrey Wright,USA,200000000.0,39155217.0,123087120.0,332207671.0,Pixar Animation Studios,93.0
497,The Finest Hours,6.8,60704.0,PG-13,Action,Craig Gillespie,Scott Silver,Chris Pine,USA,80000000.0,10288932.0,27569558.0,52099090.0,Walt Disney Pictures,117.0
498,Pete's Dragon,6.7,53157.0,PG,Action,David Lowery,David Lowery,Bryce Dallas Howard,USA,65000000.0,21514095.0,76233151.0,143695338.0,Walt Disney Pictures,102.0
499,Crown Vic,6.4,3280.0,R,Action,Joel Souza,Joel Souza,Bridget Moynahan,USA,3600000.0,2468.0,3868.0,3868.0,Brittany House Pictures,110.0
500,Kubo and the Two Strings,7.8,115622.0,PG,Animation,Travis Knight,Marc Haimes,Charlize Theron,USA,60000000.0,12608372.0,48023088.0,76249438.0,Focus Features,101.0
501,Brahms: The Boy II,4.6,9188.0,PG-13,Drama,William Brent Bell,Stacey Menear,Katie Holmes,USA,10000000.0,5823006.0,12611536.0,20311536.0,STX Films,86.0
502,Book Club,6.1,24586.0,PG-13,Comedy,Bill Holderman,Bill Holderman,Diane Keaton,USA,10000000.0,13582231.0,68566296.0,104438188.0,Apartment Story,104.0
503,Happy Death Day 2U,6.2,53488.0,PG-13,Comedy,Christopher Landon,Christopher Landon,Jessica Rothe,USA,9000000.0,9497665.0,28148130.0,64600152.0,Blumhouse Productions,100.0
504,The Space Between Us,6.4,47046.0,PG-13,Drama,Peter Chelsom,Allan Loeb,Gary Oldman,USA,30000000.0,3775596.0,7885294.0,16080475.0,Los Angeles Media Fund (LAMF),120.0
505,The Glass Castle,7.1,28642.0,PG-13,Biography,Destin Daniel Cretton,Destin Daniel Cretton,Brie Larson,USA,9000000.0,4678548.0,17273059.0,22088533.0,Lionsgate,127.0
506,The Belko Experiment,6.1,42948.0,R,Horror,Greg McLean,James Gunn,John Gallagher Jr.,USA,5000000.0,4137230.0,10166820.0,11084630.0,Orion Pictures,89.0
507,The Light Between Oceans,7.2,50909.0,PG-13,Drama,Derek Cianfrance,Derek Cianfrance,Michael Fassbender,UK,20000000.0,4765838.0,12545979.0,25975621.0,Heyday Films,133.0
508,Rough Night,5.2,45903.0,R,Comedy,Lucia Aniello,Lucia Aniello,Scarlett Johansson,USA,20000000.0,8004283.0,22105643.0,47347283.0,Paulilu Productions,101.0
